"phase","tier","family","design_case_id","analysis_case_id","chunk_id","replicate_start","replicate_end","seed"
"generate_design","long","z","z-dnorm-0p2-s0p5-usd1-long",NA,1,1,1000,21261018
"generate_design","long","z","z-dnorm-0p2-s0p5-usd1-long",NA,2,1001,2000,22261021
"generate_design","long","z","z-dnorm-0p2-s0p5-usd1-long",NA,3,2001,3000,23261024
"generate_design","long","z","z-dnorm-0p2-s0p5-usd1-long",NA,4,3001,4000,24261027
"generate_design","long","z","z-dnorm-0p2-s0p5-usd1-long",NA,5,4001,5000,25261030
"generate_design","long","z","z-dnorm-0p2-s0p5-usd1-long",NA,6,5001,6000,26261033
"generate_design","long","z","z-dnorm-0p2-s0p5-usd1-long",NA,7,6001,7000,27261036
"generate_design","long","z","z-dnorm-0p2-s0p5-usd1-long",NA,8,7001,8000,28261039
"generate_design","long","z","z-dnorm-0p2-s0p5-usd1-long",NA,9,8001,9000,29261042
"generate_design","long","z","z-dnorm-0p2-s0p5-usd1-long",NA,10,9001,10000,30261045
"generate_design","short","t","t-two-dpoint-0-short",NA,1,1,1000,21262004
"generate_design","short","t","t-two-dpoint-0-short",NA,2,1001,2000,22262007
"generate_design","short","t","t-two-dpoint-0-short",NA,3,2001,3000,23262010
"generate_design","short","t","t-two-dpoint-0-short",NA,4,3001,4000,24262013
"generate_design","short","t","t-two-dpoint-0-short",NA,5,4001,5000,25262016
"generate_design","short","t","t-two-dpoint-0-short",NA,6,5001,6000,26262019
"generate_design","short","t","t-two-dpoint-0-short",NA,7,6001,7000,27262022
"generate_design","short","t","t-two-dpoint-0-short",NA,8,7001,8000,28262025
"generate_design","short","t","t-two-dpoint-0-short",NA,9,8001,9000,29262028
"generate_design","short","t","t-two-dpoint-0-short",NA,10,9001,10000,30262031
"generate_design","short","t","t-two-dpoint-0p5-short",NA,1,1,1000,21262005
"generate_design","short","t","t-two-dpoint-0p5-short",NA,2,1001,2000,22262008
"generate_design","short","t","t-two-dpoint-0p5-short",NA,3,2001,3000,23262011
"generate_design","short","t","t-two-dpoint-0p5-short",NA,4,3001,4000,24262014
"generate_design","short","t","t-two-dpoint-0p5-short",NA,5,4001,5000,25262017
"generate_design","short","t","t-two-dpoint-0p5-short",NA,6,5001,6000,26262020
"generate_design","short","t","t-two-dpoint-0p5-short",NA,7,6001,7000,27262023
"generate_design","short","t","t-two-dpoint-0p5-short",NA,8,7001,8000,28262026
"generate_design","short","t","t-two-dpoint-0p5-short",NA,9,8001,9000,29262029
"generate_design","short","t","t-two-dpoint-0p5-short",NA,10,9001,10000,30262032
"generate_design","short","t","t-two-dnorm-0p5-s0p1-short",NA,1,1,1000,21262006
"generate_design","short","t","t-two-dnorm-0p5-s0p1-short",NA,2,1001,2000,22262009
"generate_design","short","t","t-two-dnorm-0p5-s0p1-short",NA,3,2001,3000,23262012
"generate_design","short","t","t-two-dnorm-0p5-s0p1-short",NA,4,3001,4000,24262015
"generate_design","short","t","t-two-dnorm-0p5-s0p1-short",NA,5,4001,5000,25262018
"generate_design","short","t","t-two-dnorm-0p5-s0p1-short",NA,6,5001,6000,26262021
"generate_design","short","t","t-two-dnorm-0p5-s0p1-short",NA,7,6001,7000,27262024
"generate_design","short","t","t-two-dnorm-0p5-s0p1-short",NA,8,7001,8000,28262027
"generate_design","short","t","t-two-dnorm-0p5-s0p1-short",NA,9,8001,9000,29262030
"generate_design","short","t","t-two-dnorm-0p5-s0p1-short",NA,10,9001,10000,30262033
"generate_design","short","t","t-two-dnorm-0p5-s0p5-short",NA,1,1,1000,21262007
"generate_design","short","t","t-two-dnorm-0p5-s0p5-short",NA,2,1001,2000,22262010
"generate_design","short","t","t-two-dnorm-0p5-s0p5-short",NA,3,2001,3000,23262013
"generate_design","short","t","t-two-dnorm-0p5-s0p5-short",NA,4,3001,4000,24262016
"generate_design","short","t","t-two-dnorm-0p5-s0p5-short",NA,5,4001,5000,25262019
"generate_design","short","t","t-two-dnorm-0p5-s0p5-short",NA,6,5001,6000,26262022
"generate_design","short","t","t-two-dnorm-0p5-s0p5-short",NA,7,6001,7000,27262025
"generate_design","short","t","t-two-dnorm-0p5-s0p5-short",NA,8,7001,8000,28262028
"generate_design","short","t","t-two-dnorm-0p5-s0p5-short",NA,9,8001,9000,29262031
"generate_design","short","t","t-two-dnorm-0p5-s0p5-short",NA,10,9001,10000,30262034
